year;id_mother;id_lamb;num_siblings;gender;saft;weight_spring;date_spring;weight_fall_I;date_fall_I;weight_fall_II;date_fall_II;weight_slaugther;slaugther_class;;;;;;;;;;;
2001;680;1059;3;S;s;16;37067;33;37145;39;37156;13.8;3;;;;;;;;;;;
2001;680;1060;3;V;t;17;37067;;37145;;37156;;;;;;;;;;;;;
2001;682;1069;3;V;s;21;37067;44;37145;48;37156;18.7;5;;;;;;;;;;;
2001;682;1070;3;V;s;17;37067;40;37145;45;37156;17.5;4;;;;;;;;;;;
2001;682;1071;3;V;s;16;37067;37;37145;41;37156;15.7;4;;;;;;;;;;;
2001;695;1072;3;S;s;14;37067;34;37145;39;37156;14.3;3;;;;;;;;;;;
2001;695;1073;3;S;f;11;37067;27;37145;32;37156;;;;;;;;;;;;;
2001;695;1074;3;S;s;14;37067;32;37145;38;37156;13.6;3;;;;;;;;;;;
2001;707;1064;1;V;s;26;37067;54;37145;62;37156;24.1;5;;;;;;;;;;;
2001;709;1057;1;V;s;27;37067;48;37145;59;37156;23.6;5;;;;;;;;;;;
2001;736;1075;2;S;a;17;37067;38;37145;45;37156;;;;;;;;;;;;;
2001;736;1076;2;V;s;19;37067;47;37145;54;37156;21.2;6;;;;;;;;;;;
2001;739;1054;1;S;s;21;37067;40;37145;47;37156;19.4;5;;;;;;;;;;;
2001;758;1043;2;V;s;19;37067;42;37145;49;37156;19.2;5;;;;;;;;;;;
2001;758;1044;2;S;a;19;37067;42;37145;47;37156;;;;;;;;;;;;;
2001;765;1049;1;S;s;16;37067;35;37145;42;37156;15.6;4;;;;;;;;;;;
2001;786;1048;1;S;a;25;37067;46;37145;52;37156;;;;;;;;;;;;;
2002;6;2146;2;S;s;12;37419;39;37522;;;16.7;6;;;;;;;;;;;
2002;6;2147;2;S;s;7;37419;33;37522;;;14.2;5;;;;;;;;;;;
2002;32;2144;2;V;s;14;37419;42;37522;;;19.8;5;;;;;;;;;;;
2002;32;2145;2;V;s;11;37419;41;37522;;;20.1;6;;;;;;;;;;;
2002;524;2104;2;S;a;13;37419;49;37522;;;;;;;;;;;;;;;
2002;524;2105;2;S;a;18;37419;50;37522;;;;;;;;;;;;;;;
2002;537;2120;1;S;s;;37419;28;37522;;;12.4;4;;;;;;;;;;;
2002;554;2101;2;V;t;;37419;;37522;;;;;;;;;;;;;;;
2002;554;2102;2;S;a;21;37419;53;37522;;;;;;;;;;;;;;;
2002;595;2113;2;S;a;19;37419;52;37522;;;;;;;;;;;;;;;
2002;595;2114;2;S;s;19;37419;49;37522;;;21;6;;;;;;;;;;;
2002;606;2151;2;S;s;;37419;33;37522;;;14.9;5;;;;;;;;;;;
2002;606;2152;2;S;s;;37419;30;37522;;;14.3;4;;;;;;;;;;;
2002;609;2141;3;V;s;12;37419;44;37522;;;19.1;5;;;;;;;;;;;
2002;609;2142;3;S;s;11;37419;40;37522;;;16.3;5;;;;;;;;;;;
2002;609;2143;3;S;a;12;37419;40;37522;;;;;;;;;;;;;;;
2002;610;2099;2;V;s;;37419;34;37522;;;14.4;4;;;;;;;;;;;
2002;610;2100;2;V;s;;37419;40;37522;;;14.4;3;;;;;;;;;;;
2002;611;2123;2;S;a;18;37419;48;37522;;;;;;;;;;;;;;;
2002;611;2124;2;S;s;14;37419;45;37522;;;19.4;6;;;;;;;;;;;
2002;672;2103;1;V;s;18;37419;51;37522;;;23.3;5;;;;;;;;;;;
2002;676;2126;3;S;s;;37419;47;37522;;;;;;;;;;;;;;;
2002;676;2127;3;V;s;;37419;41;37522;;;17.3;5;;;;;;;;;;;
2002;676;2128;3;V;s;;37419;31;37522;;;13.2;3;;;;;;;;;;;
2002;680;2133;2;V;s;18;37419;51;37522;;;20.8;5;;;;;;;;;;;
2002;680;2134;2;V;s;15;37419;47;37522;;;20.1;6;;;;;;;;;;;
2002;682;2108;1;S;a;20;37419;52;37522;;;;;;;;;;;;;;;
2002;688;2119;1;S;s;23;37419;61;37522;;;24.6;6;;;;;;;;;;;
2002;695;2139;2;S;s;;37419;29;37522;;;10.2;3;;;;;;;;;;;
2002;695;2140;2;V;s;17;37419;61;37522;;;25;6;;;;;;;;;;;
2002;707;2111;2;S;a;17;37419;48;37522;;;;;;;;;;;;;;;
2002;707;2112;2;V;s;13;37419;42;37522;;;18.5;5;;;;;;;;;;;
2002;709;2121;2;V;s;19;37419;53;37522;;;21.9;6;;;;;;;;;;;
2002;709;2122;2;S;a;18;37419;45;37522;;;;;;;;;;;;;;;
2002;736;2109;2;S;a;15;37419;41;37522;;;;;;;;;;;;;;;
2002;736;2110;2;V;s;24;37419;54;37522;;;23.3;6;;;;;;;;;;;
2002;739;2135;2;S;s;14;37419;42;37522;;;19.6;7;;;;;;;;;;;
2002;739;2136;2;V;s;14;37419;48;37522;;;17.8;5;;;;;;;;;;;
2002;758;2115;2;V;s;19;37419;52;37522;;;22;6;;;;;;;;;;;
2002;758;2116;2;V;s;16;37419;46;37522;;;19.4;6;;;;;;;;;;;
2002;765;2129;3;V;s;17;37419;44;37522;;;20.3;5;;;;;;;;;;;
2002;765;2130;3;V;s;15;37419;45;37522;;;17.9;5;;;;;;;;;;;
2002;765;2131;3;V;s;13;37419;41;37522;;;18.9;5;;;;;;;;;;;
2002;799;2148;2;V;s;9;37419;35;37522;;;15;5;;;;;;;;;;;
